date_of_race,horse_name,bookie_odds,venue,ew_stake,balance,rating,current_time,expected_value,expected_return,win_stake,place_stake,win_odds,place_odds,betfair_balance,max_profit,is_lay,win_matched,lay_matched,arbritrage_profit,place_payout,balance_in_betfair
2021-01-23 15:35:00,Waiting Patiently,3.75,Ascot,0.11,27.06,99.74,2021-01-23 13:27:07,1.6%,0.0,31.41,34.74,3.9,1.47,52.43,0.17,False,0.0,0.0,0.0,5.0,0.0
2021-01-23 15:35:00,Waiting Patiently,3.75,Ascot,0.1,26.86,99.74,2021-01-23 13:29:54,1.6%,0.0,19.81,21.91,3.9,1.47,52.43,0.11,False,0.0,0.0,0.0,5.0,0.0
2021-01-23 15:35:00,Waiting Patiently,3.75,Ascot,0.1,26.66,99.74,2021-01-23 13:32:52,1.6%,0.0,19.81,21.91,3.9,1.47,52.43,0.11,False,0.0,0.0,0.0,5.0,0.0
2021-01-23 15:35:00,Waiting Patiently,3.75,Ascot,0.1,26.46,99.74,2021-01-23 13:35:43,1.6%,0.0,49.29,54.52,3.9,1.47,52.43,0.27,False,0.0,0.0,0.0,5.0,0.0
2021-01-23 15:35:00,Waiting Patiently,3.75,Ascot,0.18,26.1,100.36,2021-01-23 13:38:38,2.84%,0.01,49.93,54.52,3.85,1.47,52.43,0.36,False,0.0,0.0,0.0,5.0,0.0
2021-01-23 15:35:00,Waiting Patiently,3.75,Ascot,0.18,25.74,100.36,2021-01-23 13:41:32,2.84%,0.01,49.93,54.52,3.85,1.47,52.43,0.36,False,0.0,0.0,0.0,5.0,0.0
2021-01-23 15:35:00,Waiting Patiently,3.75,Ascot,0.18,25.38,100.36,2021-01-23 13:44:28,2.84%,0.01,49.93,54.52,3.85,1.47,52.43,0.36,False,0.0,0.0,0.0,5.0,0.0
2021-01-23 15:35:00,Waiting Patiently,3.75,Ascot,0.17,25.04,100.36,2021-01-23 13:47:27,2.84%,0.0,49.93,54.52,3.85,1.47,52.43,0.36,False,0.0,0.0,0.0,5.0,0.0
2021-01-23 15:35:00,Waiting Patiently,3.75,Ascot,0.17,24.7,100.36,2021-01-23 13:50:28,2.84%,0.0,49.93,54.52,3.85,1.47,52.43,0.36,False,0.0,0.0,0.0,5.0,0.0
2021-01-23 15:35:00,Waiting Patiently,3.75,Ascot,0.17,24.36,100.36,2021-01-23 13:53:22,2.84%,0.0,49.93,54.52,3.85,1.47,52.43,0.36,False,0.0,0.0,0.0,5.0,0.0
2021-01-23 15:35:00,Waiting Patiently,3.75,Ascot,0.17,24.02,100.36,2021-01-23 13:56:12,2.84%,0.0,24.97,27.26,3.85,1.47,52.43,0.18,False,0.0,0.0,0.0,5.0,0.0
2021-01-23 15:35:00,Duc Des Genievres,21.0,Ascot,0.12,23.78,104.83,2021-01-23 15:18:27,13.26%,0.02,11.88,15.93,23.0,4.1,52.43,1.26,False,0.0,0.0,0.0,5.0,0.0
2021-01-23 15:35:00,Duc Des Genievres,21.0,Ascot,0.1,23.58,104.06,2021-01-23 15:21:28,11.73%,0.01,44.9,54.91,22.0,4.3,52.43,3.81,False,0.0,0.0,0.0,5.0,0.0
2021-01-23 15:35:00,Duc Des Genievres,21.0,Ascot,0.11,23.36,103.42,2021-01-23 15:24:36,13.26%,0.02,15.54,20.99,23.0,4.1,52.43,1.16,False,0.0,0.0,0.0,5.0,0.0
2021-01-24 15:40:00,Touchwood,2.75,Lingfield,0.14,76.33,98.43,2021-01-24 11:25:46,0.48%,0.0,10.06,11.34,2.92,1.27,52.43,0.33,False,0.0,0.0,0.0,5.0,0.0
2021-01-24 12:40:00,Butterfield,21.0,Lingfield,0.34,75.65,104.99,2021-01-24 11:52:19,13.7%,0.05,11.56,12.01,20.0,4.6,52.43,1.1,False,0.0,0.0,0.0,5.0,0.0
2021-01-24 15:40:00,Ooh Is It,26.0,Lingfield,0.11,75.43,99.48,2021-01-24 15:05:49,5.39%,0.01,10.13,11.5,27.0,5.5,52.43,0.11,False,0.0,0.0,0.0,5.0,0.0
2021-01-24 15:35:00,Baikal,7.0,Pau,0.8,73.83,102.82,2021-01-24 15:14:14,10.29%,0.08,10.42,9.81,6.4,2.18,52.43,0.54,False,0.0,0.0,0.0,5.0,0.0
2021-01-24 15:40:00,Plastic Paddy,67.0,Lingfield,0.13,73.57,105.03,2021-01-24 15:37:57,14.06%,0.02,7.88,13.55,85.0,10.5,52.43,1.01,False,0.0,0.0,0.0,5.0,0.0
2021-01-25 13:10:00,Griggy,13.0,Chelmsford City,0.48,79.97,101.37,2021-01-25 10:29:42,11.36%,0.05,9.79,9.42,12.0,3.3,52.43,0.25,False,0.0,0.0,0.0,5.0,0.0
2021-01-25 13:50:00,Natural History,2.5,Plumpton,0.19,79.59,99.2,2021-01-25 10:30:06,0.48%,0.0,17.46,21.67,2.74,1.19,52.43,0.3,False,0.0,0.0,0.0,5.0,0.0
2021-01-25 13:10:00,Kupa River,21.0,Chelmsford City,0.14,79.31,99.38,2021-01-25 10:55:57,4.94%,0.01,15.99,20.11,23.0,4.4,52.43,0.22,False,0.0,0.0,0.0,5.0,0.0
2021-01-25 13:50:00,John Betjeman,29.0,Plumpton,1.05,77.21,112.12,2021-01-25 13:15:22,31.85%,0.33,3.93,11.29,48.0,3.85,52.43,1.58,False,0.0,0.0,0.0,5.0,0.0
2021-01-26 18:10:00,Shine On Brendan,12.0,Wolverhampton,0.12,79.5,99.7,2021-01-26 12:46:58,2.74%,0.0,24.04,24.79,12.0,3.65,52.43,0.14,False,0.0,0.0,0.0,4.0,0.0
2021-01-26 12:50:00,Monargent,13.0,Cagnes-Sur-Mer Midi.,0.62,78.26,104.03,2021-01-26 12:50:06,14.07%,0.09,10.69,14.15,14.0,3.3,52.43,0.93,False,0.0,0.0,0.0,4.0,0.0
2021-01-26 12:50:00,Revamp,13.0,Cagnes-Sur-Mer Midi.,0.62,77.02,103.81,2021-01-26 12:50:29,13.65%,0.08,13.89,20.65,15.0,3.15,52.43,1.22,False,0.0,0.0,0.0,4.0,0.0
2021-01-28 12:25:00,Cookilayone,6.5,Cagnes-Sur-Mer,0.4,76.22,98.75,2021-01-28 12:17:40,4.46%,0.02,12.27,15.79,7.2,2.08,52.43,0.34,False,0.0,0.0,0.0,4.0,0.0
2021-01-30 07:03:00,Cunnamulla,10.0,Gold Coast,3.72,68.78,117.92,2021-01-30 07:01:17,43.38%,1.61,14.41,26.55,11.5,1.79,52.43,5.91,False,0.0,0.0,0.0,5.0,0.0
2021-01-30 13:30:00,Cheddleton,10.0,Doncaster,0.49,67.8,102.53,2021-01-30 08:01:30,7.98%,0.04,7.87,15.15,14.0,2.38,52.43,0.56,False,0.0,0.0,0.0,4.0,0.0
2021-01-30 13:30:00,Fast Buck,17.0,Doncaster,0.23,67.34,100.8,2021-01-30 08:01:53,6.89%,0.02,5.79,11.87,25.0,3.6,52.43,0.14,False,0.0,0.0,0.0,4.0,0.0
